board temp volt area areaStd
Xenon_1.6um 160 500 310.5783510831663 4.903315791658949
Xenon_1.6um 160 250 272.72821262952266 4.523648525135031
Xenon_1.6um 160 0 237.76646818366953 4.172541896881261
Xenon_1.6um 160 -250 274.4877126434692 4.5447179169171505
Xenon_1.6um 160 -500 296.0221757630004 4.480067246417081
Xenon_1.6um 230 500 316.6044115260743 4.528905740084886
Xenon_1.6um 230 250 277.9684204496972 4.289123929974447
Xenon_1.6um 230 0 237.85164157776407 4.124618282702085
Xenon_1.6um 230 -250 280.7435300507665 4.052783121411988
Xenon_1.6um 230 -500 303.4987610586793 4.702266738875131
Xenon_1.6um 293 500 351.224025002379 4.572180456550081
Xenon_1.6um 293 250 298.1765829998896 4.044235850944025
Xenon_1.6um 293 0 238.25396323514445 3.776301941587911
Xenon_1.6um 293 -250 310.14861574618203 4.692939775179028
Xenon_1.6um 293 -500 383.0520450703265 4.775038850131043
Xenon_1.6um 78 500 294.9709936651267 6.8148140948582965
Xenon_1.6um 78 250 261.445518519902 8.205642815656313
Xenon_1.6um 78 0 238.49311116943292 6.45639161682747
Xenon_1.6um 78 -250 260.8483113827291 4.665959434247797
Xenon_1.6um 78 -500 277.4795653045255 3.8929995600740974
Xenon_1.6um 87 500 279.97977296675276 6.777498292889394
Xenon_1.6um 87 250 257.96128187633406 5.3258916747707366
Xenon_1.6um 87 0 238.7543631585465 4.105519737745238
Xenon_1.6um 87 -250 259.75465511006956 4.368725202388027
Xenon_1.6um 87 -500 276.9185021076092 4.890749107860408
Xenon_Bare 120 500 237.25449570168544 5.480418455604492
Xenon_Bare 120 250 237.09417570186596 3.764275269053674
Xenon_Bare 120 0 237.08151567326314 3.141075973902107
Xenon_Bare 120 -250 242.06825249405227 3.793968812782728
Xenon_Bare 120 -500 241.61707814519616 6.165525220352018
Xenon_Bare 160 500 237.16998963602492 3.407755798068615
Xenon_Bare 160 250 237.646573046967 3.2408206609901686
Xenon_Bare 160 0 237.27151316973107 3.2856569028062874
Xenon_Bare 160 -250 242.21667984647024 3.4841738896498673
Xenon_Bare 160 -500 241.61149685211132 3.3713569347016894
Xenon_Bare 202 500 238.31022348028992 3.5231068192678414
Xenon_Bare 202 250 237.54172690495926 3.463374858533553
Xenon_Bare 202 0 237.48762760260382 3.054442459288593
Xenon_Bare 202 -250 241.5300062937381 2.6660240231218704
Xenon_Bare 202 -500 241.6497563220105 3.3113699400063896
Xenon_Bare 253 500 237.5545684467021 3.3999996627018563
Xenon_Bare 253 250 237.21005863802475 2.9668434329490836
Xenon_Bare 253 0 237.05098902811406 3.164703245885655
Xenon_Bare 253 -250 242.0549449380256 3.294461538105563
Xenon_Bare 253 -500 242.0571651195599 3.1918332136559435
Xenon_Bare 297 500 237.81141534332627 3.073363826718732
Xenon_Bare 297 250 237.44784283187644 3.000283318994997
Xenon_Bare 297 0 237.10220134994398 3.1263671730119644
Xenon_Bare 297 -250 242.1497889239553 3.170799846807478
Xenon_Bare 297 -500 242.21050140438513 3.3013605828979706
Xenon_Bare 78 500 236.43624832563242 5.518679857855662
Xenon_Bare 78 250 236.8048484292595 4.074828226732836
Xenon_Bare 78 0 236.20911986379457 2.6696720164595904
Xenon_Bare 78 -250 242.65843217832557 4.118933465940589
Xenon_Bare 78 -500 242.77386865142034 5.720347254582483
Xenon_Bare 87 500 236.8505430580236 4.711096831430835
Xenon_Bare 87 250 236.5801693423122 3.1209506082489535
Xenon_Bare 87 0 236.71548965057576 3.352021092915275
Xenon_Bare 87 -250 243.0786691055822 3.7262317300586685
Xenon_Bare 87 -500 241.595235851378 6.244593566488196
