board temp volt area lowerTick upperTick lowerTime upperTime
Xenon_1.6um 293 500 232.91341370363773 5095 9519 4.551983561120261e-06 0.00044695198873104984
Xenon_1.6um 293 250 115.90095686716747 5103 9701 5.350580166503124e-06 0.0004651505855397705
Xenon_1.6um 293 0 1.8251984660390927 5155 6928 1.0548894896959289e-05 0.0001878488969689042
Xenon_1.6um 293 -250 -121.06102432543823 5079 9557 2.950430441006059e-06 0.0004507504356740403
Xenon_1.6um 293 -500 -243.44575996124877 5080 9533 3.0502253203616187e-06 0.0004483502305241808
Xenon_1.6um 160 500 200.46965540851173 5098 7996 4.8475783521615235e-06 0.0002946475817387923
Xenon_1.6um 160 250 89.15208002697324 5107 8369 5.749626865795152e-06 0.00033194963067779986
Xenon_1.6um 160 0 -0.23498913084710818 5556 6739 5.064682351061419e-05 0.00016894682489307955
Xenon_1.6um 160 -250 -86.59078062840362 5077 8392 2.750008754816108e-06 0.0003342500126287572
Xenon_1.6um 160 -500 -180.7262441605879 5078 7973 2.8512057418204402e-06 0.0002923512091249457
Xenon_1.6um 230 500 206.21889205194282 5097 7991 4.748440800851249e-06 0.00029414844418280755
Xenon_1.6um 230 250 102.020303299011 5106 8245 5.650578529215788e-06 0.00031955058219748146
Xenon_1.6um 230 0 1.1741738267445418 5132 5859 8.252481802659175e-06 8.095248265223832e-05
Xenon_1.6um 230 -250 -101.20929397838162 5076 8292 2.649860851097971e-06 0.0003242498646093471
Xenon_1.6um 230 -500 -194.69717816723576 5078 7962 2.8522466619337684e-06 0.0002912522500322043
Xenon_1.6um 293 500 232.91341370363773 5095 9519 4.551983561120261e-06 0.00044695198873104984
Xenon_1.6um 293 250 115.90095686716747 5103 9701 5.350580166503124e-06 0.0004651505855397705
Xenon_1.6um 293 0 1.8251984660390927 5155 6928 1.0548894896959289e-05 0.0001878488969689042
Xenon_1.6um 293 -250 -121.06102432543823 5079 9557 2.950430441006059e-06 0.0004507504356740403
Xenon_1.6um 293 -500 -243.44575996124877 5080 9533 3.0502253203616187e-06 0.0004483502305241808
Xenon_1.6um 78 500 196.9474678470544 5096 7780 4.649747695999932e-06 0.0002730497508325483
Xenon_1.6um 78 250 73.92999431757698 5108 8126 5.8510775321195655e-06 0.00030765108105898373
Xenon_1.6um 78 0 -0.07097245253334986 5879 6631 8.295252881272094e-05 0.0001581525296915154
Xenon_1.6um 78 -250 -66.70815135367613 5079 8078 2.94851277981627e-06 0.0003028485162844769
Xenon_1.6um 78 -500 -160.80262864271373 5080 7743 3.0491335945825794e-06 0.00026934913670659017
Xenon_1.6um 87 500 147.4419884650064 5102 7685 5.246894626524332e-06 0.0002635468976450432
Xenon_1.6um 87 250 61.725104795824834 5109 7997 5.952515643203194e-06 0.0002947525190181481
Xenon_1.6um 87 0 1.9180869345688216 5126 6031 7.647643445505849e-06 9.814764450309752e-05
Xenon_1.6um 87 -250 -62.665520694440225 5076 8017 2.653295615970468e-06 0.0002967532990528517
Xenon_1.6um 87 -500 -159.04397027458285 5076 7708 2.6482573700781213e-06 0.00026584826044585884
Xenon_3.2um 120 500 6.562362352456894 5110 7286 6.050492121299695e-06 0.00022365049466419436
Xenon_3.2um 120 250 2.7338025126797403 5111 7169 6.148784496405943e-06 0.00021194878690140466
Xenon_3.2um 120 0 0.16911739408578774 5534 6591 4.845046125135101e-05 0.00015415046248657134
Xenon_3.2um 120 -250 -1.8082666473209825 5142 7004 9.252405278241914e-06 0.00019545240745419306
Xenon_3.2um 120 -500 -7.4137544585844255 5076 7759 2.6484865427567035e-06 0.0002709484896781363
Xenon_3.2um 160 500 17.350648985924064 5106 7050 5.652515604443947e-06 0.00020005251787622117
Xenon_3.2um 160 250 5.924548146315515 5109 7074 5.948380809082905e-06 0.00020244838310540082
Xenon_3.2um 160 0 -0.06789069235552378 8647 9383 0.00035975152468753355 0.0004333515255476303
Xenon_3.2um 160 -250 -6.539361861458903 5076 6978 2.6467733733515882e-06 0.00019284677559604726
Xenon_3.2um 160 -500 -14.709792242064953 5077 7028 2.7476933971831248e-06 0.00019784769567714061
Xenon_3.2um 200 500 35.53136916096638 5101 6966 5.1481301663062476e-06 0.00019164813234576314
Xenon_3.2um 200 250 15.510130673743259 5106 6933 5.65195618008133e-06 0.00018835195831513115
Xenon_3.2um 200 0 0.7561678890434906 5112 6765 6.250571865279932e-06 0.00017155057379699158
Xenon_3.2um 200 -250 -10.719793335394556 5077 6922 2.7491201665882082e-06 0.00018724912232267308
Xenon_3.2um 200 -500 -29.126133364517017 5077 6914 2.748868332027302e-06 0.00018644887047876324
Xenon_3.2um 250 500 88.21173774438101 5092 6786 4.249588739358145e-06 0.00017364959071898282
Xenon_3.2um 250 250 35.07963744253931 5098 6762 4.849014677248013e-06 0.0001712490166218146
Xenon_3.2um 250 0 -0.3883316538423795 5177 5952 1.2751831376933643e-05 9.025183228260606e-05
Xenon_3.2um 250 -250 -33.38648728883302 5077 6780 2.751523420979116e-06 0.00017305152541112142
Xenon_3.2um 250 -500 -84.84434765571001 5079 6778 2.952232019350346e-06 0.00017285223400481832
Xenon_3.2um 297 500 132.94330950698873 5089 6736 3.949016076362201e-06 0.00016864901800106238
Xenon_3.2um 297 250 79.64871035673036 5093 6746 4.3496042056825905e-06 0.00016964960613739436
Xenon_3.2um 297 0 0.7662772121225134 5112 7127 6.251743400690697e-06 0.00020775174575543917
Xenon_3.2um 297 -250 -72.33547367530429 5079 6712 2.9476781609933936e-06 0.000166247680069333
Xenon_3.2um 297 -500 -178.0724479885285 5083 6702 3.3480311990956484e-06 0.00016524803309107472
Xenon_3.2um 78 500 2.708549849435387 5110 7158 6.045240844245843e-06 0.00021084524323755846
Xenon_3.2um 78 250 1.428893768520882 5110 7079 6.052801193254366e-06 0.0002029528034942468
Xenon_3.2um 78 0 0.17567832606432465 5456 6571 4.064601754320228e-05 0.00015214601884620208
Xenon_3.2um 78 -250 -0.46169167542472694 5191 6438 1.4148941507741803e-05 0.00013884894296499798
Xenon_3.2um 78 -500 -1.6111712798010824 5151 7218 1.0147294526153216e-05 0.00021684729694166933
Xenon_3.2um 87 500 2.5024520497259934 5109 7148 5.94926093146248e-06 0.00020984926331425765
Xenon_3.2um 87 250 0.7947762485379445 5110 6780 6.049240418183532e-06 0.00017304924236976165
Xenon_3.2um 87 0 -0.16517225396330137 8677 10080 0.00036275068186706765 0.000503050683506627
Xenon_3.2um 87 -250 -1.111064083045859 5148 6880 9.851409622930679e-06 0.00018305141164696263
Xenon_3.2um 87 -500 -2.549964149800624 5139 7339 8.947044703631317e-06 0.00022894704727457256
Xenon_Bare 120 500 4.364005954896874 5105 6372 5.544619965881513e-06 0.00013224462144650995
Xenon_Bare 120 250 2.5759753411320574 5109 6358 5.948273491235879e-06 0.00013084827495082925
Xenon_Bare 120 0 -0.46387657182591374 5191 6215 1.4149846237486819e-05 0.00011654984743414304
Xenon_Bare 120 -250 -3.3445097185328736 5078 6403 2.850001654442348e-06 0.00013535000320285013
Xenon_Bare 120 -500 -3.963177312862413 5079 6418 2.9482234799735912e-06 0.0001368482250447419
